site_name,year_trt,New_taxon,prop
Ainsdale Dune Slacks,-1,Filipendula_ulmaria,1.5359803394516551
Ainsdale Dune Slacks,-1,Lotus_pedunculatus,1.390062207203748
Ainsdale Dune Slacks,-1,Lysimachia_tenella,0.9983872206435759
Ainsdale Dune Slacks,-1,Carex_flacca,0.921588203670993
Ainsdale Dune Slacks,-1,Agrostis_stolonifera,0.8447891866984103
Ainsdale Dune Slacks,-1,Cirsium_palustre,0.4607941018354965
Ainsdale Dune Slacks,-1,Arrhenatherum_elatius,0.307196067890331
Ainsdale Dune Slacks,-1,Equisetum_variegatum,0.23039705091774826
Ainsdale Dune Slacks,-1,Holcus_lanatus,0.23039705091774826
Ainsdale Dune Slacks,-1,Juncus_articulatus,0.23039705091774826
Ainsdale Dune Slacks,-1,Leontodon_saxatilis,0.23039705091774826
Ainsdale Dune Slacks,-1,Trifolium_repens,0.23039705091774826
Ainsdale Dune Slacks,0,Salix_repens,26.31578947368421
Ainsdale Dune Slacks,0,Hydrocotyle_vulgaris,25.649566955363092
Ainsdale Dune Slacks,0,Equisetum_palustre,12.991339107261826
Ainsdale Dune Slacks,0,Rubus_caesius,8.061292471685542
Ainsdale Dune Slacks,0,Carex_nigra,6.262491672218521
Ainsdale Dune Slacks,0,Equisetum_arvense,4.463690872751499
Ainsdale Dune Slacks,0,Mentha_aquatica,4.197201865423051
Ainsdale Dune Slacks,0,Pulicaria_dysenterica,2.898067954696869
Ainsdale Dune Slacks,0,Filipendula_ulmaria,2.365089940039973
Ainsdale Dune Slacks,0,Carex_flacca,1.2591605596269153
Ainsdale Dune Slacks,0,Lysimachia_tenella,1.1325782811459029
Ainsdale Dune Slacks,0,Lotus_pedunculatus,1.0726182544970022
Ainsdale Dune Slacks,0,Lotus_corniculatus,0.6995336442371752
Ainsdale Dune Slacks,0,Luzula_campestris,0.6662225183211192
Ainsdale Dune Slacks,0,Agrostis_stolonifera,0.5996002664890072
Ainsdale Dune Slacks,0,Hypericum_tetrapterum,0.39973351099267157
Ainsdale Dune Slacks,0,Potentilla_mixta,0.19986675549633579
Ainsdale Dune Slacks,0,Holcus_lanatus,0.13324450366422386
Ainsdale Dune Slacks,0,Trifolium_repens,0.13324450366422386
Ainsdale Dune Slacks,0,Epilobium_palustre,0.09993337774816789
Ainsdale Dune Slacks,1,Hydrocotyle_vulgaris,18.945634266886326
Ainsdale Dune Slacks,1,Salix_repens,16.474464579901152
Ainsdale Dune Slacks,1,Equisetum_palustre,13.344316309719934
Ainsdale Dune Slacks,1,Rubus_caesius,8.484349258649095
Ainsdale Dune Slacks,1,Carex_nigra,7.00164744645799
Ainsdale Dune Slacks,1,Equisetum_arvense,6.3426688632619435
Ainsdale Dune Slacks,1,Mentha_aquatica,4.7775947281713345
Ainsdale Dune Slacks,1,Carex_flacca,3.2125205930807246
Ainsdale Dune Slacks,1,Pulicaria_dysenterica,3.047775947281713
Ainsdale Dune Slacks,1,Epipactis_palustris,2.471169686985173
Ainsdale Dune Slacks,1,Cirsium_palustre,1.9769357495881383
Ainsdale Dune Slacks,1,Sonchus_arvensis,1.5650741350906094
Ainsdale Dune Slacks,1,Agrostis_stolonifera,1.4827018121911038
Ainsdale Dune Slacks,1,Hypericum_tetrapterum,1.3179571663920924
Ainsdale Dune Slacks,1,Holcus_lanatus,1.2355848434925865
Ainsdale Dune Slacks,1,Lotus_corniculatus,1.1532125205930808
Ainsdale Dune Slacks,1,Prunella_vulgaris,0.9884678747940692
Ainsdale Dune Slacks,1,Brachythecium_rutabulum,0.7413509060955519
Ainsdale Dune Slacks,1,Lotus_pedunculatus,0.6589785831960462
Ainsdale Dune Slacks,1,Lysimachia_tenella,0.5766062602965404
Ainsdale Dune Slacks,2,Equisetum_palustre,25.936599423631122
Ainsdale Dune Slacks,2,Salix_repens,15.658021133525457
Ainsdale Dune Slacks,2,Hydrocotyle_vulgaris,13.064361191162345
Ainsdale Dune Slacks,2,Carex_nigra,9.702209414024976
Ainsdale Dune Slacks,2,Equisetum_arvense,8.45341018251681
Ainsdale Dune Slacks,2,Pulicaria_dysenterica,7.396733909702209
Ainsdale Dune Slacks,2,Rubus_caesius,3.842459173871278
Ainsdale Dune Slacks,2,Mentha_aquatica,2.97790585975024
Ainsdale Dune Slacks,2,Carex_flacca,1.729106628242075
Ainsdale Dune Slacks,2,Juncus_articulatus,1.248799231508165
Ainsdale Dune Slacks,2,Lotus_pedunculatus,1.1527377521613833
Ainsdale Dune Slacks,2,Cirsium_arvense,0.9606147934678195
Ainsdale Dune Slacks,2,Potentilla_mixta,0.9606147934678195
Ainsdale Dune Slacks,2,Agrostis_stolonifera,0.8645533141210375
Ainsdale Dune Slacks,2,Ranunculus_repens,0.8645533141210375
